NRO COMPARENDO,POLCA,FECHA COMP,ESTADO,PLACA,SERVICIO,CLASE,INMOVILIZADO,INFRACCION,VALOR
99999999000004761363,SI,01/01/2021,CANCELADO,BVD924,PARTICULAR,AUTOMOVIL,NO,C14,223800
68276000000020095790,NO,01/01/2021,RESOLUCION,CAP56F,PARTICULAR,MOTOCICLETA,SI,D01,179040
99999999000004761362,SI,01/01/2021,CANCELADO,TKI80E,PARTICULAR,MOTOCICLETA,NO,C14,447600
68276000000020090352,NO,01/02/2021,ANULADO,XLP273,,,NO,D02,0
68276000000020090353,NO,01/02/2021,CANCELADO,XLF273,PUBLICO,BUSETA,SI,C35,167850
68276000000020090354,NO,01/02/2021,CANCELADO,XLF273,PUBLICO,BUSETA,NO,D02,335700
68276000000020090151,NO,01/02/2021,RESOLUCION,CLH85B,PARTICULAR,MOTOCICLETA,SI,C35,89520
68276000000020096127,NO,01/02/2021,RESOLUCION,BDB23E,PARTICULAR,MOTOCICLETA,NO,C15,89520
68276000000020096233,NO,01/02/2021,RESOLUCION,ELM83F,PARTICULAR,MOTOCICLETA,NO,C24,89520
68276000000020096234,NO,01/02/2021,CANCELADO,ELM83F,PARTICULAR,MOTOCICLETA,NO,C24,89520
68276000000020090365,NO,01/04/2021,RESOLUCION,LSL82E,PARTICULAR,MOTOCICLETA,NO,D01,179040
68276000000020096128,NO,01/04/2021,CANCELADO,SVO844,PUBLICO,AUTOMOVIL,NO,C14,223800
68276000000020090427,NO,01/04/2021,CANCELADO,CJW80E,PARTICULAR,MOTOCICLETA,NO,D01,335700
68276000000020090428,NO,01/04/2021,CANCELADO,KTQ47E,PARTICULAR,MOTOCICLETA,NO,D01,335700
68276000000020090429,NO,01/05/2021,RESOLUCION,ZYX10D,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020096129,NO,01/05/2021,RESOLUCION,IAK56E,PARTICULAR,MOTOCICLETA,SI,C35,89520
68276000000020090286,NO,01/05/2021,CANCELADO,XWC397,PARTICULAR,AUTOMOVIL,NO,B02,119350
68276000000020096582,NO,01/05/2021,RESOLUCION,ELX26F,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020090430,NO,01/05/2021,RESOLUCION,RMS95D,PARTICULAR,MOTOCICLETA,NO,C31,89520
68276000000020090287,NO,01/05/2021,RESOLUCION,ALN59C,PARTICULAR,MOTOCICLETA,SI,C02,89520
68276000000020090367,NO,01/05/2021,CANCELADO,XYZ28,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090288,NO,01/05/2021,CANCELADO,XHG62E,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090366,NO,01/05/2021,CANCELADO,SKO79E,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090431,NO,01/05/2021,CANCELADO,NPD26E,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020096130,NO,01/05/2021,CANCELADO,RUT98B,PARTICULAR,MOTOCICLETA,SI,C02,167850
68276000000020090152,NO,01/05/2021,ABSUELTO,HUW49B,PARTICULAR,MOTOCICLETA,SI,C02,0
68276000000020096342,NO,01/05/2021,CANCELADO,ANW82E,PARTICULAR,MOTOCICLETA,NO,B01,47740
68276000000020090368,NO,01/05/2021,RESOLUCION,NLD82D,PARTICULAR,MOTOCICLETA,SI,D01,179040
99999999000004761364,SI,01/05/2021,CANCELADO,EMB70F,PARTICULAR,MOTOCICLETA,NO,D02,335661
68276000000020090438,NO,01/05/2021,CANCELADO,BPM727,PARTICULAR,AUTOMOVIL,SI,C02,167900
68276000000020090439,NO,01/05/2021,CANCELADO,KKU346,PARTICULAR,AUTOMOVIL,SI,C02,447600
68276000000020096430,NO,01/05/2021,RESOLUCION,WHX93D,PARTICULAR,MOTOCICLETA,NO,C02,89520
68276000000020090170,NO,01/05/2021,RESOLUCION,GLD25A,PARTICULAR,MOTOCICLETA,SI,D01,179040
99999999000004761365,SI,01/06/2021,CANCELADO,DML409,PARTICULAR,AUTOMOVIL,NO,B01,89510
68276000000020096583,NO,01/06/2021,RESOLUCION,XHM58E,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020096343,NO,01/06/2021,RESOLUCION,XGP19E,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020090369,NO,01/06/2021,RESOLUCION,BZP95F,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020096344,NO,01/06/2021,RESOLUCION,XGP19E,PARTICULAR,MOTOCICLETA,SI,C02,89520
68276000000020090327,NO,01/06/2021,RESOLUCION,ZNS84E,PARTICULAR,MOTOCICLETA,NO,C24,89520
68276000000020096584,NO,01/06/2021,RESOLUCION,FML85E,PARTICULAR,MOTOCICLETA,NO,C02,89520
68276000000020090370,NO,01/06/2021,RESOLUCION,CAD79F,PARTICULAR,MOTOCICLETA,NO,C02,89520
68276000000020090400,NO,01/06/2021,CANCELADO,BPC42D,PARTICULAR,MOTOCICLETA,SI,D01,335700
68276000000020096431,NO,01/06/2021,CANCELADO,SAT47C,PARTICULAR,MOTOCICLETA,SI,D02,335666
99999999000004761366,SI,01/06/2021,RESOLUCION,IBY64E,PARTICULAR,MOTOCICLETA,NO,D01,179040
68276000000020090326,NO,01/06/2021,CANCELADO,JSJ66F,PARTICULAR,MOTOCICLETA,NO,C02,167850
68276000000020090440,NO,01/06/2021,RESOLUCION,EMA74F,PARTICULAR,MOTOCICLETA,SI,C02,89520
68276000000020090441,NO,01/06/2021,CANCELADO,EMG01F,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090442,NO,01/06/2021,CANCELADO,KTH14E,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090328,NO,01/06/2021,CANCELADO,CWD295,PARTICULAR,AUTOMOVIL,SI,C02,167900
68276000000020090401,NO,01/06/2021,CANCELADO,RDS384,PARTICULAR,AUTOMOVIL,NO,C35,223800
68276000000020096585,NO,01/07/2021,RESOLUCION,HFL19F,PARTICULAR,MOTOCICLETA,SI,D02,179040
68276000000020096345,NO,01/07/2021,CANCELADO,BHW13D,PARTICULAR,MOTOCICLETA,SI,C35,89520
68276000000020096346,NO,01/07/2021,RESOLUCION,ZLI07C,PARTICULAR,MOTOCICLETA,NO,D01,179040
68276000000020090432,NO,01/07/2021,CANCELADO,HZL782,PARTICULAR,CAMIONETA,NO,C02,167850
99999999000004761367,SI,01/07/2021,CANCELADO,PYN02C,PARTICULAR,MOTOCICLETA,NO,D01,335661
68276000000020090329,NO,01/07/2021,AMONESTACION,FMF851,PARTICULAR,AUTOMOVIL,NO,H05,
68276000000020090330,NO,01/07/2021,RESOLUCION,NPU40A,PARTICULAR,MOTOCICLETA,SI,B01,47740
68276000000020090402,NO,01/07/2021,CANCELADO,NLI84D,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090433,NO,01/07/2021,CANCELADO,NLM02D,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090403,NO,01/07/2021,CANCELADO,KTF22E,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090443,NO,01/07/2021,CANCELADO,HFC78F,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020090404,NO,01/07/2021,RESOLUCION,BXZ86E,PARTICULAR,MOTOCICLETA,NO,C35,89520
68276000000020096432,NO,01/07/2021,CANCELADO,ZGP165,PARTICULAR,CAMIONETA,SI,C02,167900
68276000000020090434,NO,01/07/2021,RESOLUCION,OJM87C,PARTICULAR,MOTOCICLETA,NO,C02,89520
68276000000020090458,NO,01/07/2021,ABSUELTO,FIE04A,PARTICULAR,MOTOCICLETA,SI,C02,0
68276000000020090331,NO,01/07/2021,CANCELADO,XLQ87C,PARTICULAR,MOTOCICLETA,SI,C02,167900
68276000000020096433,NO,01/07/2021,CANCELADO,RZK91C,PARTICULAR,MOTOCICLETA,SI,C02,251775
68276000000020090332,NO,01/07/2021,RESOLUCION,HBO28F,PARTICULAR,MOTOCICLETA,NO,C24,89520
68276000000020090444,NO,01/07/2021,CANCELADO,DUS324,PARTICULAR,AUTOMOVIL,SI,C02,167900
68276000000020090371,NO,01/08/2021,CANCELADO,QVY83E,PARTICULAR,MOTOCICLETA,SI,C35,167900
68276000000020090336,NO,01/08/2021,CANCELADO,GIX622,PARTICULAR,AUTOMOVIL,SI,C02,167850
99999999000004761368,SI,01/08/2021,CANCELADO,VEX75D,PARTICULAR,MOTOCICLETA,NO,D01,335661
99999999000004761369,SI,01/08/2021,CANCELADO,ICU63C,PARTICULAR,MOTOCICLETA,NO,D01,335661
68276000000020088847,NO,01/08/2021,RESOLUCION,XVO347,PUBLICO,AUTOMOVIL,NO,D03,447600
68276000000020096347,NO,01/08/2021,CANCELADO,TTW285,PUBLICO,AUTOMOVIL,NO,C02,167833
68276000000020096586,NO,01/08/2021,CANCELADO,XVX015,PUBLICO,AUTOMOVIL,NO,C02,167900
68276000000020088848,NO,01/08/2021,RESOLUCION,DZM010,PARTICULAR,AUTOMOVIL,NO,C02,223800
68276000000020096587,NO,01/08/2021,CANCELADO,JGW969,PARTICULAR,AUTOMOVIL,NO,C02,223800
68276000000020096131,NO,01/08/2021,RESOLUCION,BIF452,PARTICULAR,AUTOMOVIL,SI,C35,223800
68276000000020090154,NO,01/08/2021,CANCELADO,OJP92C,PARTICULAR,MOTOCICLETA,SI,D02,335700
68276000000020096132,NO,01/08/2021,CANCELADO,OJP92C,PARTICULAR,MOTOCICLETA,SI,C35,167833
68276000000020096348,NO,01/08/2021,CANCELADO,SUE221,PUBLICO,CAMION,NO,C02,447600
99999999000004761370,SI,01/08/2021,CANCELADO,BUX482,PARTICULAR,AUTOMOVIL,NO,C35,223800
99999999000004761371,SI,01/08/2021,CANCELADO,UDR758,PARTICULAR,AUTOMOVIL,NO,C35,167831
68276000000020096434,NO,01/08/2021,RESOLUCION,MMB61F,PARTICULAR,MOTOCICLETA,NO,C24,89520
68276000000020090485,NO,01/08/2021,RESOLUCION,UJX30E,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020090064,NO,01/08/2021,ABSUELTO,MXN549,PARTICULAR,AUTOMOVIL,SI,F,0
68276000000020090372,NO,01/09/2021,RESOLUCION,ELA85F,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020096349,NO,01/09/2021,RESOLUCION,SKO38E,PARTICULAR,MOTOCICLETA,NO,H03,29840
68276000000020090373,NO,01/09/2021,RESOLUCION,VXU49C,PARTICULAR,MOTOCICLETA,NO,C35,89520
68276000000020096350,NO,01/09/2021,RESOLUCION,XHA74E,PARTICULAR,MOTOCICLETA,SI,C14,89520
68276000000020088849,NO,01/09/2021,RESOLUCION,,PARTICULAR,MOTOCICLETA,NO,H02,29840
68276000000020090374,NO,01/09/2021,RESOLUCION,ZMI66E,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020096133,NO,01/09/2021,CANCELADO,MBD56B,PARTICULAR,MOTOCICLETA,SI,D02,335700
68276000000020096134,NO,01/09/2021,CANCELADO,CAO11F,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020096351,NO,01/09/2021,RESOLUCION,XNK22D,PARTICULAR,MOTOCICLETA,NO,B01,47740
68276000000020096135,NO,01/09/2021,RESOLUCION,ZKY68C,PARTICULAR,MOTOCICLETA,SI,C35,89520
68276000000020096352,NO,01/09/2021,RESOLUCION,OIO99C,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020090505,NO,01/09/2021,CANCELADO,EZX29C,PARTICULAR,MOTOCICLETA,NO,C35,167900
68276000000020096353,NO,01/09/2021,RESOLUCION,OIO99C,PARTICULAR,MOTOCICLETA,SI,C35,89520
68276000000020090455,NO,01/09/2021,RESOLUCION,FPJ90C,PARTICULAR,MOTOCICLETA,SI,D02,179040
68276000000020090456,NO,01/09/2021,RESOLUCION,WZN19D,PARTICULAR,MOTOCICLETA,SI,D01,179040
68276000000020090506,NO,01/09/2021,RESOLUCION,JSN12F,PARTICULAR,MOTOCICLETA,NO,D01,179040
68276000000020090465,NO,01/09/2021,RESOLUCION,VHP01E,PARTICULAR,MOTOCICLETA,NO,C24,89520
68276000000020090486,NO,01/09/2021,ABSUELTO,CGA876,PARTICULAR,AUTOMOVIL,NO,C14,0
68276000000020090487,NO,01/09/2021,CANCELADO,PNI59F,PARTICULAR,MOTOCICLETA,NO,C14,89520
68276000000020090466,NO,01/09/2021,CANCELADO,HWK645,PARTICULAR,AUTOMOVIL,SI,C35,167900
